stim,aoi
layout2,chips
layout2,cart
layout2,fruit_cup
layout3,basketball
layout3,cookies
layout3,health_bar
layout1,scissors
layout1,nacho_chips
layout1,oranges
layout4,cookies
layout4,watch
layout4,banana_chips
layout5,cart
layout5,fruit_cup
layout5,nacho_chips
layout7,banana_chips
layout7,basketball
layout7,chocolate_bar
layout6,watch
layout6,banana_chips
layout6,cookies
layout10,fruit_cup
layout10,scissors
layout10,chips
layout11,health_bar
layout11,chocolate_bar
layout11,basketball
layout12,chocolate_bar
layout12,oranges
layout12,cart
layout8,nacho_chips
layout8,health_bar
layout8,scissors
layout9,oranges
layout9,chips
layout9,watch
